stress_module,mito_module,IFN_module,Ig_module,stress_marsh,stress_vanhove,stress_brink,stress_denisenko
BAG3,AADAT,APOBEC3A,IGBP1,FOS,PIM3,SDC4,RBM3
BLOC1S5-TXNDC5,AARS2,CCL2,IGBP1-AS1,HSP90AA1,FOS,KLF6,S100G
CALU,AASS,CCL7,IGBP1-AS2,CCL4,ETS2,FOS,FOS
DNAJB1,ABAT,CCL8,IGBP1P1,CCL4L2,TGIF1,MAFF,KLF6
DUSP1,ABCA13,CXCL10,IGBP1P3,CCL3,KLF6,HSPH1,MRPS6
EGR1,ABCA9,CXCL11,IGBP1P4,CCL18,IMPACT,SRSF5,SLC25A5
FOS,ABCB10,CXCL9,IGBP1P5,CCL3L3,SAMSN1,HSP90AB1,CLU
FOSB,ABCB6,DDX58,IGHA1,CCL3L1,P2RY10,H3-5,FXYD2
HIF1A,ABCB7,EIF2AK2,IGHA2,HSPA1A,PMAIP1,SERPINE1,FXYD6-FXYD2
HSP90AA1,ABCB8,EPSTI1,IGHD,HSPA1B,SDC4,TUBB6,GS
HSP90AB1,ABCB9,GBP1,IGHD1-1,ZFP36,CSTB,ZFAND5,H3-5
HSP90AB2P,ABCD1,GBP4,IGHD1-14,GEM,SRSF5,GADD45G,HSP90AB1
HSP90AB3P,ABCD2,HERC5,IGHD1-20,KLF2,RUNX1,HSP90AA1,CHKA
HSP90B1,ABCD3,IDO1,IGHD1-26,IER5,OSM,SBNO2,GADD45G
HSPA1A,ABCF2,IFI16,IGHD1-7,EGR1,MAFF,DDX3X,PIM1
HSPA1B,ABHD10,IFI35,IGHD1OR15-1A,NFKBIZ,CCL1,SLC38A2,CLDN10
HSPA6,ABHD11,IFI44,IGHD1OR15-1B,JUND,KLF4,KLF4,HSP90AA1
HSPB1,ACAA1,IFI44L,IGHD2-15,RGS1,SLC38A2,PNP,HSPA8
HSPH1,ACAA2,IFI6,IGHD2-2,JUN,CHKA,NCOA7,FOSB
IER2,ACACA,IFIH1,IGHD2-21,DUSP1,TNIP3,RHOH,ZFP36L2
JUN,ACACB,IFIT1,IGHD2-8,TXNIP,RAB20,HIPK3,BTG1
JUNB,ACAD10,IFIT2,IGHD2OR15-2A,RHOB,CCL3,NCKAP5L,HSPB1
NFKBIA,ACAD11,IFIT3,IGHD2OR15-2B,ATF3,CCL18,SLC10A6,IGFBP7
NFKBIZ,ACAD8,IFITM1,IGHD3-10,JUNB,CCL3L3,CEBPD,ZFP36
RGS2,ACAD9,IL1RN,IGHD3-16,NFKBID,CCL3L1,DCN,SRGN
SLC2A3,ACADL,IRF7,IGHD3-22,,GOT1,SRF,PPP1R15A
SOCS3,ACADM,ISG15,IGHD3-3,,CCL7,HSPA1A,EEF1A1
UBC,ACADS,ISG20,IGHD3-9,,TUBB6,HSPA1B,UQCRB
ZFAND2A,ACADSB,LGALS9,IGHD3OR15-3A,,H3-5,TRIB1,KLF2
ZFP36,ACADVL,LY6E,IGHD3OR15-3B,,CKS2,DJB4,FUS
ZFP36L1,ACAT1,MT2A,IGHD4-11,,ZFAND5,KLF9,NFKBIA
,ACCS,MX1,IGHD4-17,,CD83,FOSL2,CKB
,ACLY,MX2,IGHD4-23,,PIM1,MYC,PNRC1
,ACN9,NT5C3A,IGHD4-4,,DDX3X,CEBPB,HSPA1A
,ACO1,OAS1,IGHD4OR15-4A,,MAFB,PNRC1,HSPA1B
,ACO2,OAS2,IGHD4OR15-4B,,PLIN2,IDI1,ESM1
,ACOT13,OAS3,IGHD5-12,,ING2,KLF2,IER3
,ACOT2,OASL,IGHD5-18,,TOB2,DUSP8,EGR1
,ACOT7,PLSCR1,IGHD5-24,,RLIM,PXDC1,NR4A1
,ACOT9,RSAD2,IGHD5-5,,OSER1,OXD1,JUN
,ACOX1,SAMD9,IGHD5OR15-5A,,WSB1,IRF8,VPS37B
,ACOX3,SAMD9L,IGHD5OR15-5B,,HSP90AB1,HSPB1,B2M
,ACP6,STAT1,IGHD6-13,,CCL4,GEM,BTG2
,ACSF2,TNFSF10,IGHD6-19,,CCL4L2,BAG3,CLDN4
,ACSF3,UBE2L6,IGHD6-25,,TMEM251,ANKRD1,NDUFC2-KCTD14
,ACSL1,WARS,IGHD6-6,,HSP90AA1,ZFP36,NDUFC2
,ACSL4,XAF1,IGHD7-27,,NFIL3,ATF4,IER2
,ACSL6,,IGHE,,GADD45G,OSGIN1,MT1G
,ACSM1,,IGHEP1,,SMAD7,SQSTM1,MDH1
,ACSM2A,,IGHEP2,,HMOX1,TUBB4B,CD28
,ACSM3,,IGHG1,,GCH1,ZFP36L2,H3-3B
,ACSM5,,IGHG2,,SLC15A3,IFRD1,DUSP1
,ACSS1,,IGHG3,,FOSB,ZFP36L1,UBC
,ACSS3,,IGHG4,,HSPA1A,CSRNP1,JUND
,ACYP2,,IGHGP,,HSPA1B,NFKBIA,RHOB
,ADCK1,,IGHJ1,,HSPA5,RIPK1,JUNB
,ADCK2,,IGHJ1P,,SERTAD1,HSPA8,DDX5
,ADCK3,,IGHJ2,,ERRFI1,WAC,ELF3
,ADCK4,,IGHJ2P,,GLA,SAT1,ACTG1
,ADCK5,,IGHJ3,,LAIR2,ITPKC,
,ADHFE1,,IGHJ3P,,BCL2A1,BRD2,
,AFG3L2,,IGHJ4,,PPP1R15A,RAP1B,
,AGK,,IGHJ5,,PVR,IL6,
,AGMAT,,IGHJ6,,SKIL,IER3,
,AGPAT5,,IGHM,,SIAH2,BTG1,
,AGR2,,IGHMBP2,,IER3,GADD45A,
,AGXT,,IGHV1-12,,BTG1,SKIL,
,AGXT2,,IGHV1-14,,G13,CEBPG,
,AHCYL1,,IGHV1-17,,TLR2,PPP1R15A,
,AIFM1,,IGHV1-18,,SRGN,SRSF7,
,AIFM2,,IGHV1-2,,BRD2,ERRFI1,
,AIFM3,,IGHV1-24,,TNF,HSPA5,
,AK2,,IGHV1-3,,CLIC4,FOSB,
,AK3,,IGHV1-45,,TOB1,GCC1,
,AK4,,IGHV1-46,,DJB9,NFKBIZ,
,AKAP1,,IGHV1-58,,HSPA8,BTG2,
,AKAP10,,IGHV1-67,,IL1B,BHLHE40,
,AKR1B10,,IGHV1-68,,CSRNP1,NOP58,
